ID,GRE,TOEFL,University_Rating,SOP,LOR,CGPA,Research,Chance_of_Admit
250,321,111,3,3.5,4.0,8.83,1,0.77
434,316,111,4,4.0,5.0,8.54,0,0.71
20,303,102,3,3.5,3.0,8.5,0,0.62
323,314,107,2,2.5,4.0,8.27,0,0.72
333,308,106,3,3.5,2.5,8.21,1,0.75
57,316,102,3,2.0,3.0,7.4,0,0.64
302,319,108,2,2.5,3.0,8.76,0,0.66
230,324,111,4,3.0,3.0,9.01,1,0.82
332,311,105,2,3.0,2.0,8.12,1,0.73
133,309,105,5,3.5,3.5,8.56,0,0.71
138,316,100,2,1.5,3.0,8.16,1,0.71
424,334,119,5,4.5,5.0,9.54,1,0.94
336,325,111,4,4.0,4.5,9.11,1,0.83
26,340,120,5,4.5,4.5,9.6,1,0.94
465,298,97,2,2.0,3.0,7.21,0,0.45
282,317,110,3,4.0,4.5,9.11,1,0.8
248,311,104,2,2.5,3.5,8.48,0,0.71
238,329,114,5,4.5,5.0,9.19,1,0.86
118,290,104,4,2.0,2.5,7.46,0,0.45
43,313,107,2,2.5,2.0,8.5,1,0.53
221,313,103,3,4.0,4.0,8.75,0,0.76
177,329,119,4,4.5,4.5,9.16,1,0.9
321,317,106,3,4.0,3.5,8.5,1,0.75
154,324,105,3,3.0,4.0,8.75,0,0.79
232,319,106,3,3.5,2.5,8.33,1,0.74
228,312,110,2,3.5,3.0,8.53,0,0.64
418,316,103,3,3.5,2.0,7.68,0,0.52
204,334,120,5,4.0,5.0,9.87,1,0.97
127,323,113,3,4.0,3.0,9.32,1,0.85
330,297,96,2,2.5,1.5,7.89,0,0.43
32,327,103,3,4.0,4.0,8.3,1,0.74
114,320,110,2,4.0,3.5,8.56,0,0.72
471,320,110,5,4.0,4.0,9.27,1,0.87
272,299,96,2,1.5,2.0,7.86,0,0.54
141,329,110,2,4.0,3.0,9.15,1,0.84
58,298,99,2,4.0,2.0,7.6,0,0.46
193,322,114,5,4.5,4.0,8.94,1,0.86
25,336,119,5,4.0,3.5,9.8,1,0.97
18,319,106,3,4.0,3.0,8.0,1,0.65
266,313,102,3,2.5,2.5,8.68,0,0.71
67,327,114,3,3.0,3.0,9.02,0,0.61
209,305,106,2,3.0,3.0,8.16,0,0.64
480,325,110,4,4.5,4.0,8.96,1,0.79
95,303,99,3,2.0,2.5,7.66,0,0.36
254,335,115,4,4.5,4.5,9.68,1,0.93
267,312,105,2,2.0,2.5,8.45,0,0.72
24,334,119,5,5.0,4.5,9.7,1,0.95
223,324,113,4,4.5,4.0,8.79,0,0.76
262,312,104,3,3.5,4.0,8.09,0,0.71
427,312,106,3,3.0,5.0,8.57,0,0.71
6,330,115,5,4.5,3.0,9.34,1,0.9
117,299,102,3,4.0,3.5,8.62,0,0.56
46,322,110,5,5.0,4.0,9.1,1,0.88
17,317,107,3,4.0,3.0,8.7,0,0.66
463,307,105,4,3.0,3.0,7.94,0,0.62
358,301,104,2,3.5,3.5,7.89,1,0.68
4,322,110,3,3.5,2.5,8.67,1,0.8
219,324,110,4,3.0,3.5,8.97,1,0.84
406,302,99,3,2.5,3.0,7.45,0,0.52
61,309,100,2,3.0,3.0,8.1,0,0.48
111,305,108,5,3.0,3.0,8.48,0,0.61
319,324,111,3,2.5,2.0,8.8,1,0.79
429,316,103,2,2.0,4.5,8.74,0,0.69
30,310,99,2,1.5,2.0,7.3,0,0.54
438,317,106,1,1.5,3.5,7.65,1,0.61
472,311,103,3,2.0,4.0,8.09,0,0.64
27,322,109,5,4.5,3.5,8.8,0,0.76
8,308,101,2,3.0,4.0,7.9,0,0.68
454,319,103,3,2.5,4.0,8.76,1,0.73
109,331,116,5,5.0,5.0,9.38,1,0.93
38,300,105,1,1.0,2.0,7.8,0,0.58
158,309,104,2,2.0,2.5,8.26,0,0.65
490,302,110,3,4.0,4.5,8.5,0,0.65
119,296,99,2,3.0,3.5,7.28,0,0.47
115,311,105,3,3.5,3.0,8.45,1,0.59
176,320,111,4,4.5,3.5,8.87,1,0.85
374,321,109,3,3.0,3.0,8.54,1,0.79
182,305,107,2,2.5,2.5,8.42,0,0.71
145,325,112,2,3.0,3.5,8.96,1,0.8
370,301,98,1,2.0,3.0,8.03,1,0.67
391,314,102,2,2.0,2.5,8.24,0,0.64
196,307,107,2,3.0,3.5,8.52,1,0.78
405,311,101,3,2.0,2.5,7.64,1,0.62
276,322,110,3,3.5,3.0,8.96,1,0.78
455,310,105,2,3.0,3.5,8.01,0,0.71
142,332,118,2,4.5,3.5,9.36,1,0.9
366,330,114,4,4.5,3.0,9.17,1,0.86
68,316,107,2,3.5,3.5,8.64,1,0.57
211,325,108,4,4.5,4.0,9.06,1,0.79
169,293,97,2,2.0,4.0,7.8,1,0.64
494,300,95,2,3.0,1.5,8.22,1,0.62
376,304,101,2,2.0,2.5,7.66,0,0.38
401,304,100,2,3.5,3.0,8.22,0,0.63
273,294,95,1,1.5,1.5,7.64,0,0.49
110,304,103,5,5.0,4.0,8.64,0,0.68
249,324,110,3,3.5,4.0,8.87,1,0.8
146,320,113,2,2.0,2.5,8.64,1,0.81
93,298,98,2,4.0,3.0,8.03,0,0.34
153,321,112,5,5.0,5.0,9.06,1,0.86
368,311,98,1,1.0,2.5,7.46,0,0.57
468,318,101,5,3.5,5.0,8.78,1,0.78
84,322,115,5,4.0,4.5,9.36,1,0.92
246,328,110,4,4.0,2.5,9.02,1,0.81
166,322,110,5,4.5,4.0,8.97,0,0.78
164,317,105,3,3.5,3.0,8.56,0,0.68
200,313,107,3,4.0,4.5,8.69,0,0.72
229,318,112,3,4.0,3.5,8.67,0,0.71
75,314,106,3,3.0,5.0,8.9,0,0.74
479,318,103,3,4.0,4.5,8.49,1,0.71
359,314,105,2,2.5,2.0,7.64,0,0.7
251,320,104,3,3.0,2.5,8.57,1,0.74
120,327,104,5,3.0,3.5,8.84,1,0.71
311,320,104,3,3.0,3.5,8.74,1,0.76
300,305,112,3,3.0,3.5,8.65,0,0.71
256,307,110,4,4.0,4.5,8.37,0,0.79
355,297,98,2,2.5,3.0,7.67,0,0.59
400,333,117,4,5.0,4.0,9.66,1,0.95
226,296,99,2,2.5,2.5,8.03,0,0.61
354,300,102,3,3.5,2.5,8.17,0,0.63
235,330,113,5,5.0,4.0,9.31,1,0.91
383,324,110,4,4.5,4.0,9.15,1,0.82
275,315,100,1,2.0,2.5,7.95,0,0.58
37,299,106,2,4.0,4.0,8.4,0,0.64
197,306,105,2,3.0,2.5,8.26,0,0.73
140,318,109,1,3.5,3.5,9.12,0,0.78
365,313,102,3,3.5,4.0,8.9,1,0.77
245,314,107,2,2.5,4.0,8.56,0,0.63
440,312,105,2,1.5,3.0,8.46,0,0.66
287,336,118,5,4.5,4.0,9.19,1,0.92
60,311,104,2,2.0,2.0,8.3,0,0.42
112,321,109,4,4.0,4.0,8.68,1,0.69
90,316,109,4,4.5,3.5,8.76,1,0.74
437,310,110,1,1.5,4.0,7.23,1,0.58
7,321,109,3,3.0,4.0,8.2,1,0.75
361,322,110,3,4.0,5.0,8.64,1,0.85
347,304,97,2,1.5,2.0,7.64,0,0.47
339,323,108,5,4.0,4.0,8.74,1,0.81
159,306,106,2,2.0,2.5,8.14,0,0.61
151,334,114,4,4.0,4.0,9.43,1,0.93
178,319,110,3,3.5,3.5,9.04,0,0.82
394,317,104,2,3.0,3.0,8.76,0,0.77
185,316,106,2,2.5,4.0,8.32,0,0.72
450,315,101,3,3.5,4.5,9.13,0,0.79
11,325,106,3,3.5,4.0,8.4,1,0.52
381,322,104,3,3.5,4.0,8.84,1,0.78
104,317,104,2,4.5,4.0,8.47,0,0.57
82,340,120,4,5.0,5.0,9.5,1,0.96
39,304,105,1,3.0,1.5,7.5,0,0.52
315,305,105,2,3.0,4.0,8.13,0,0.66
168,313,102,3,2.0,3.0,8.27,0,0.64
470,326,114,4,4.0,3.5,9.16,1,0.86
297,310,107,3,3.5,3.5,8.67,0,0.76
475,308,105,4,3.0,2.5,7.95,1,0.67
199,311,104,3,4.5,4.5,8.43,0,0.7
298,320,120,3,4.0,4.5,9.11,0,0.86
417,315,104,3,4.0,2.5,8.1,0,0.65
147,315,105,3,2.0,2.5,8.48,0,0.75
393,326,112,4,4.0,3.5,9.12,1,0.84
148,326,114,3,3.0,3.0,9.11,1,0.83
448,320,108,3,3.5,5.0,8.97,1,0.84
288,324,114,5,5.0,4.5,9.08,1,0.89
124,308,108,3,3.5,3.5,8.22,0,0.61
369,298,92,1,2.0,2.0,7.88,0,0.51
97,306,100,2,3.0,3.0,8.0,0,0.48
144,340,120,4,4.5,4.0,9.92,1,0.97
240,299,100,1,1.5,2.0,7.89,0,0.59
443,331,116,4,4.5,4.5,9.44,1,0.92
98,331,120,3,4.0,4.0,8.96,1,0.86
408,298,100,3,2.5,4.0,7.95,1,0.58
123,310,106,4,1.5,2.5,8.36,0,0.57
184,314,110,3,4.0,4.0,8.8,0,0.75
203,340,120,5,4.5,4.5,9.91,1,0.97
247,316,105,3,3.0,3.5,8.73,0,0.72
306,321,109,3,3.5,3.5,8.8,1,0.74
299,330,114,3,4.5,4.5,9.24,1,0.9
352,325,110,4,3.5,4.0,8.67,1,0.73
387,302,101,2,2.5,3.5,7.96,0,0.46
396,324,110,3,3.5,3.5,9.04,1,0.82
285,340,112,4,5.0,4.5,9.66,1,0.94
126,300,100,3,2.0,3.0,8.66,1,0.64
303,322,105,2,3.0,3.0,8.45,1,0.65
224,308,109,2,3.0,4.0,8.45,0,0.71
419,309,111,2,2.5,4.0,8.03,0,0.6
220,312,104,3,3.5,3.5,8.42,0,0.74
130,333,118,5,5.0,5.0,9.35,1,0.92
421,299,100,3,2.0,3.0,7.42,0,0.42
290,313,109,3,4.0,3.5,9.0,0,0.79
445,324,113,5,4.0,5.0,9.25,1,0.92
377,297,96,2,2.5,2.0,7.43,0,0.34
292,300,102,2,1.5,2.0,7.87,0,0.56
356,317,106,2,2.0,3.5,8.12,0,0.73
295,316,101,2,2.5,2.0,8.32,1,0.61
397,325,107,3,3.0,3.5,9.11,1,0.84
341,312,107,3,3.0,3.0,8.46,1,0.75
113,301,107,3,3.5,3.5,8.34,1,0.62
180,307,102,3,3.0,3.0,8.27,0,0.73
308,325,112,4,4.0,4.0,9.0,1,0.8
433,324,112,4,4.5,4.0,9.22,1,0.86
488,327,115,4,3.5,4.0,9.14,0,0.79
482,323,107,4,3.0,2.5,8.48,1,0.78
423,322,112,4,3.5,2.5,9.02,1,0.73
234,304,100,2,2.5,3.5,8.07,0,0.64
312,328,108,4,4.5,4.0,9.18,1,0.84
165,329,111,4,4.5,4.0,9.01,1,0.81
137,312,103,3,5.0,4.0,8.45,0,0.76
198,310,106,2,3.5,2.5,8.33,0,0.73
259,326,102,4,5.0,5.0,8.76,1,0.77
233,312,107,2,2.5,3.5,8.27,0,0.69
116,310,106,4,4.5,4.5,9.04,1,0.66
121,335,117,5,5.0,5.0,9.56,1,0.94
350,313,101,3,2.5,3.0,8.04,0,0.62
225,305,105,2,3.0,2.0,8.23,0,0.67
403,324,109,3,3.5,3.0,8.94,1,0.78
398,330,116,4,5.0,4.5,9.45,1,0.91
128,319,112,3,2.5,2.0,8.71,1,0.78
286,331,116,5,4.0,4.0,9.26,1,0.93
412,313,94,2,2.5,1.5,8.13,0,0.56
108,338,117,4,3.5,4.5,9.46,1,0.91
371,310,103,2,2.5,2.5,8.24,0,0.72
326,326,116,3,3.5,4.0,9.14,1,0.81
134,323,112,5,4.0,4.5,8.78,0,0.79
453,328,116,4,5.0,3.5,9.6,1,0.93
45,326,113,5,4.5,4.0,9.4,1,0.91
461,319,105,4,4.0,4.5,8.66,1,0.77
66,325,112,4,3.5,3.5,8.92,0,0.55
284,321,111,3,2.5,3.0,8.9,1,0.8
86,319,103,4,4.5,3.5,8.66,0,0.76
243,324,115,3,3.5,3.0,8.76,1,0.7
187,317,107,3,3.5,3.0,8.68,1,0.84
384,300,100,3,3.0,3.5,8.26,0,0.62
160,297,100,1,1.5,2.0,7.9,0,0.52
13,328,112,4,4.0,4.5,9.1,1,0.78
36,320,110,5,5.0,5.0,9.2,1,0.88
29,295,93,1,2.0,2.0,7.2,0,0.46
171,312,101,2,2.5,3.5,8.04,1,0.68
143,331,115,5,4.0,3.5,9.44,1,0.92
399,312,103,3,3.5,4.0,8.78,0,0.67
343,308,106,3,3.0,3.0,8.24,0,0.58
222,316,110,3,3.5,4.0,8.56,0,0.75
96,304,100,4,1.5,2.5,7.84,0,0.42
52,312,100,2,1.5,3.5,7.9,1,0.56
241,296,101,1,2.5,3.0,7.68,0,0.6
485,317,106,3,3.5,3.0,7.89,1,0.73
379,303,98,1,2.0,2.5,7.65,0,0.56
179,309,108,3,2.5,3.0,8.12,0,0.72
42,316,105,2,2.5,2.5,8.2,1,0.49
499,312,103,4,4.0,5.0,8.43,0,0.73
422,321,112,3,3.0,4.5,8.95,1,0.77
207,315,99,2,3.5,3.0,7.89,0,0.63
283,312,106,3,4.0,3.5,8.79,1,0.81
255,321,114,4,4.0,5.0,9.12,0,0.85
413,314,102,4,2.5,2.0,7.88,1,0.59
5,314,103,2,2.0,3.0,8.21,0,0.65
257,309,99,3,4.0,4.0,8.56,0,0.76
449,312,109,2,2.5,4.0,9.02,0,0.8
101,322,107,3,3.5,3.5,8.46,1,0.71
227,306,110,2,3.5,4.0,8.45,0,0.63
430,340,115,5,5.0,4.5,9.06,1,0.95
214,333,119,5,5.0,4.5,9.78,1,0.96
172,334,117,5,4.0,4.5,9.07,1,0.89
99,332,119,4,5.0,4.5,9.24,1,0.9
293,302,99,2,1.0,2.0,7.97,0,0.56
216,330,116,5,5.0,4.5,9.36,1,0.93
62,307,101,3,4.0,3.0,8.2,0,0.47
48,339,119,5,4.5,4.0,9.7,0,0.89
33,338,118,4,3.0,4.5,9.4,1,0.91
268,314,107,3,3.0,3.5,8.17,1,0.73
328,295,101,2,2.5,2.0,7.86,0,0.69
201,317,103,3,2.5,3.0,8.54,1,0.73
447,327,118,4,5.0,5.0,9.67,1,0.93
28,298,98,2,1.5,2.5,7.5,1,0.44
425,325,114,5,4.0,5.0,9.46,1,0.91
231,313,104,3,4.0,4.5,8.65,0,0.73
261,327,108,5,5.0,3.5,9.13,1,0.87
289,314,104,4,5.0,5.0,9.02,0,0.82
163,318,109,3,3.0,3.0,8.5,0,0.67
426,323,111,5,4.0,5.0,9.86,1,0.92
139,326,116,2,4.5,3.0,9.08,1,0.8
63,304,105,2,3.0,3.0,8.2,1,0.54
136,314,109,4,3.5,4.0,8.77,1,0.82
129,326,112,3,3.5,3.0,9.1,1,0.84
477,304,104,3,2.5,2.0,8.12,0,0.62
9,302,102,1,2.0,1.5,8.0,0,0.5
327,299,100,3,2.0,2.0,8.02,0,0.63
464,304,107,3,3.5,3.0,7.86,0,0.57
65,325,111,3,3.0,3.5,8.7,0,0.52
301,309,106,2,2.5,2.5,8.0,0,0.62
15,311,104,3,3.5,2.0,8.2,1,0.61
157,315,105,3,2.0,2.5,8.34,0,0.7
41,308,110,3,3.5,3.0,8.0,1,0.46
380,311,99,1,2.5,3.0,8.43,1,0.71
469,323,110,4,4.0,5.0,8.88,1,0.81
404,330,116,4,4.0,3.5,9.23,1,0.91
217,322,112,4,4.5,4.5,9.26,1,0.91
280,304,102,2,3.0,4.0,8.73,0,0.67
435,306,103,3,3.5,3.0,8.21,0,0.64
431,311,104,3,4.0,3.5,8.13,1,0.74
338,332,118,5,5.0,5.0,9.47,1,0.94
237,325,112,4,4.0,4.5,9.17,1,0.85
208,310,102,3,3.5,4.0,8.02,1,0.66
213,338,120,4,5.0,5.0,9.66,1,0.95
296,317,100,2,3.0,2.5,8.57,0,0.68
458,295,99,1,2.0,1.5,7.57,0,0.37
252,316,99,2,2.5,3.0,9.0,0,0.7
489,322,112,3,3.0,4.0,8.62,1,0.76
487,319,102,3,2.5,2.5,8.37,0,0.68
304,323,107,3,3.5,3.5,8.55,1,0.73
351,318,107,3,3.0,3.5,8.27,1,0.74
270,308,108,4,4.5,5.0,8.34,0,0.77
202,315,110,2,3.5,3.0,8.46,1,0.72
162,298,99,1,1.5,3.0,7.46,0,0.53
44,332,117,4,4.5,4.0,9.1,0,0.87
218,321,109,4,4.0,4.0,9.13,1,0.85
402,315,105,2,3.0,3.0,8.34,0,0.66
191,324,111,5,4.5,4.0,9.16,1,0.9
310,308,110,4,3.5,3.0,8.6,0,0.7
260,331,119,4,5.0,4.5,9.34,1,0.9
106,316,110,3,4.0,4.5,8.78,1,0.69
54,324,112,4,4.0,2.5,8.1,1,0.72
390,320,108,3,3.5,4.0,8.44,1,0.76
2,324,107,4,4.0,4.5,8.87,1,0.76
442,332,112,1,1.5,3.0,8.66,1,0.79
483,328,113,4,4.0,2.5,8.77,1,0.83
50,327,111,4,3.0,4.0,8.4,1,0.78
420,308,102,2,2.0,3.5,7.98,1,0.58
81,312,105,3,2.0,3.0,8.02,1,0.5
206,295,99,2,2.5,3.0,7.65,0,0.57
35,331,112,5,4.0,5.0,9.8,1,0.94
264,324,111,3,2.5,1.5,8.79,1,0.7
428,310,101,3,3.5,5.0,8.65,1,0.71
367,320,104,3,3.5,4.5,8.34,1,0.74
92,299,97,3,5.0,3.5,7.66,0,0.38
340,324,107,5,3.5,4.0,8.66,1,0.81
474,316,102,2,4.0,3.5,8.15,0,0.67
53,334,116,4,4.0,3.0,8.0,1,0.78
346,316,98,1,1.5,2.0,7.43,0,0.49
265,325,110,2,3.0,2.5,8.76,1,0.75
242,317,103,2,2.5,2.0,8.15,0,0.65
14,307,109,3,4.0,3.0,8.0,1,0.62
316,308,104,2,2.5,3.0,8.07,0,0.65
89,314,108,3,4.5,3.5,8.14,0,0.64
388,307,105,2,2.0,3.5,8.1,0,0.53
274,312,99,1,1.0,1.5,8.01,1,0.52
167,302,102,3,3.5,5.0,8.33,0,0.65
329,324,112,4,4.0,3.5,8.77,1,0.8
493,298,101,4,2.5,4.5,7.69,1,0.53
135,333,113,5,4.0,4.0,9.28,1,0.89
307,323,110,3,4.0,3.5,9.1,1,0.79
481,321,102,3,3.5,4.0,9.01,1,0.8
320,327,113,4,3.5,3.0,8.69,1,0.8
244,325,114,3,3.5,3.0,9.04,1,0.76
55,322,110,3,3.0,3.5,8.0,0,0.7
364,306,103,2,2.5,3.0,8.36,0,0.69
51,313,98,3,2.5,4.5,8.3,1,0.76
457,299,100,2,2.0,2.0,7.88,0,0.51
175,321,111,4,4.0,4.0,8.97,1,0.87
446,328,116,5,4.5,5.0,9.08,1,0.91
190,324,112,5,5.0,5.0,9.08,1,0.88
497,337,117,5,5.0,5.0,9.87,1,0.96
188,335,118,5,4.5,3.5,9.44,1,0.93
170,311,99,2,2.5,3.0,7.98,0,0.65
59,300,99,1,3.0,2.0,6.8,1,0.36
49,321,110,3,3.5,5.0,8.85,1,0.82
345,295,96,2,1.5,2.0,7.34,0,0.47
236,326,111,5,4.5,4.0,9.23,1,0.88
253,318,100,2,2.5,3.5,8.54,1,0.71
22,325,114,4,3.0,2.0,8.4,0,0.7
314,301,100,3,3.5,3.0,8.04,0,0.67
460,329,113,4,4.0,3.5,9.36,1,0.89
161,315,103,1,1.5,2.0,7.86,0,0.57
277,329,113,5,5.0,4.5,9.45,1,0.89
444,321,114,5,4.5,4.5,9.16,1,0.87
192,323,110,5,4.0,5.0,8.98,1,0.87
386,335,117,5,5.0,5.0,9.82,1,0.96
294,312,98,1,3.5,3.0,8.18,1,0.64
414,317,101,3,3.0,2.0,7.94,1,0.49
344,305,103,2,2.5,3.5,8.13,0,0.59
258,324,100,3,4.0,5.0,8.64,1,0.78
309,312,108,3,3.5,3.0,8.53,0,0.69
150,311,106,2,3.5,3.0,8.26,1,0.79
131,339,114,5,4.0,4.5,9.76,1,0.96
152,332,116,5,5.0,5.0,9.28,1,0.94
360,321,107,2,2.0,1.5,8.44,0,0.81
100,323,113,3,4.0,4.0,8.88,1,0.79
373,336,119,4,4.5,4.0,9.62,1,0.95
88,317,107,2,3.5,3.0,8.28,0,0.66
459,312,100,1,3.0,3.0,8.53,1,0.69
331,327,113,3,3.5,3.0,8.66,1,0.8
215,331,117,4,4.5,5.0,9.42,1,0.94
467,314,99,4,3.5,4.5,8.73,1,0.71
122,334,119,5,4.5,4.5,9.48,1,0.94
500,327,113,4,4.5,4.5,9.04,0,0.84
21,312,107,3,3.0,2.0,7.9,1,0.64
189,331,115,5,4.5,3.5,9.36,1,0.93
72,336,112,5,5.0,5.0,9.76,1,0.96
107,329,111,4,4.5,4.5,9.18,1,0.87
271,306,105,2,2.5,3.0,8.22,1,0.72
349,302,99,1,2.0,2.0,7.25,0,0.57
436,309,105,2,2.5,4.0,7.68,0,0.55
103,314,106,2,4.0,3.5,8.25,0,0.62
