Kelurahan,Category,Competitor
Arjosari,Warung,2
Arjosari,Restoran,1
Arjosari,Minuman,1
Arjosari,Olahan Nasi,1
Arjosari,Warung,2
Balearjosari,Warung,1
Bandungrejosari,Warung,3
Bandungrejosari,Snack,1
Bandungrejosari,Restoran,2
Bandungrejosari,Restoran,2
Bandungrejosari,Warung,3
Bandungrejosari,Warung,3
Bandungrejosari,Olahan Nasi,2
Bandungrejosari,Olahan Nasi,2
Bareng,Warung,5
Bareng,Sayuran,1
Bareng,Warung,5
Bareng,Warung,5
Bareng,Minuman,5
Bareng,Minuman,5
Bareng,Lainnya,1
Bareng,Masakan Lain,2
Bareng,Minuman,5
Bareng,Minuman,5
Bareng,Olahan Nasi,3
Bareng,Olahan Nasi,3
Bareng,Restoran,1
Bareng,Seafood,1
Bareng,Minuman,5
Bareng,Masakan Lain,2
Bareng,Rawon,1
Bareng,Warung,5
Bareng,Olahan Nasi,3
Bareng,Pasar,1
Bareng,Soto,1
Bareng,Mie,1
Bareng,Snack,1
Bareng,Warung,5
Blimbing,Snack,17
Blimbing,Snack,17
Blimbing,Snack,17
Blimbing,Warung,16
Blimbing,Snack,17
Blimbing,Bakso,2
Blimbing,Warung,16
Blimbing,Lainnya,11
Blimbing,Minuman,15
Blimbing,Olahan Nasi,5
Blimbing,Lainnya,11
Blimbing,Lainnya,11
Blimbing,Bakso,2
Blimbing,Warung,16
Blimbing,Restoran,10
Blimbing,Ayam,3
Blimbing,Snack,17
Blimbing,Warung,16
Blimbing,Snack,17
Blimbing,Warung,16
Blimbing,Lainnya,11
Blimbing,Lainnya,11
Blimbing,Snack,17
Blimbing,Lainnya,11
Blimbing,Sayuran,1
Blimbing,Masakan Lain,3
Blimbing,Minuman,15
Blimbing,Warung,16
Blimbing,Lainnya,11
Blimbing,Warung,16
Blimbing,Warung,16
Blimbing,Restoran,10
Blimbing,Rawon,5
Blimbing,Olahan Nasi,5
Blimbing,Warung,16
Blimbing,Snack,17
Blimbing,Snack,17
Blimbing,Olahan Nasi,5
Blimbing,Snack,17
Blimbing,Snack,17
Blimbing,Snack,17
Blimbing,Minuman,15
Blimbing,Lainnya,11
Blimbing,Restoran,10
Blimbing,Restoran,10
Blimbing,Snack,17
Blimbing,Ayam,3
Blimbing,Masakan Cina,2
Blimbing,Lainnya,11
Blimbing,Warung,16
Blimbing,Lainnya,11
Blimbing,Restoran,10
Blimbing,Minuman,15
Blimbing,Sate,1
Blimbing,Minuman,15
Blimbing,Minuman,15
Blimbing,Mie,2
Blimbing,Warung,16
Blimbing,Restoran,10
Blimbing,Ayam,3
Blimbing,Lainnya,11
Blimbing,Snack,17
Blimbing,Minuman,15
Blimbing,Restoran,10
Blimbing,Snack,17
Blimbing,Minuman,15
Blimbing,Masakan Cina,2
Blimbing,Rawon,5
Blimbing,Minuman,15
Blimbing,Minuman,15
Blimbing,Minuman,15
Blimbing,Restoran,10
Blimbing,Olahan Nasi,5
Blimbing,Warung,16
Blimbing,Snack,17
Blimbing,Olahan Nasi,5
Blimbing,Warung,16
Blimbing,Mie,2
Blimbing,Rawon,5
Blimbing,Masakan Lain,3
Blimbing,Restoran,10
Blimbing,Rawon,5
Blimbing,Masakan Lain,3
Blimbing,Warung,16
Blimbing,Warung,16
Blimbing,Rawon,5
Blimbing,Toko,1
Blimbing,Minuman,15
Blimbing,Minuman,15
Blimbing,Restoran,10
Blimbing,Snack,17
Blimbing,Warung,16
Blimbing,Minuman,15
Blimbing,Minuman,15
Bumiayu,Warung,1
Bumiayu,Minuman,1
Bumiayu,Restoran,1
Buring,Restoran,1
Buring,Masakan Cina,1
Buring,Snack,2
Buring,Lainnya,2
Buring,Minuman,1
Buring,Lainnya,2
Buring,Soto,1
Buring,Snack,2
Buring,Warung,2
Buring,Mie,1
Buring,Warung,2
Cemorokandang,Warung,1
Cemorokandang,Snack,1
Ciptomulyo,Lainnya,1
Dinoyo,Olahan Nasi,4
Dinoyo,Olahan Nasi,4
Dinoyo,Warung,9
Dinoyo,Snack,2
Dinoyo,Lainnya,2
Dinoyo,Minuman,8
Dinoyo,Warung,9
Dinoyo,Warung,9
Dinoyo,Masakan Lain,1
Dinoyo,Toko,1
Dinoyo,Warung,9
Dinoyo,Lainnya,2
Dinoyo,Warung,9
Dinoyo,Minuman,8
Dinoyo,Minuman,8
Dinoyo,Warung,9
Dinoyo,Restoran,1
Dinoyo,Warung,9
Dinoyo,Pasar,1
Dinoyo,Warung,9
Dinoyo,Olahan Nasi,4
Dinoyo,Minuman,8
Dinoyo,Minuman,8
Dinoyo,Warung,9
Dinoyo,Minuman,8
Dinoyo,Minuman,8
Dinoyo,Olahan Nasi,4
Dinoyo,Minuman,8
Dinoyo,Snack,2
Gadang,Warung,3
Gadang,Warung,3
Gadang,Warung,3
Gadang,Rawon,1
Gadang,Masakan Lain,1
Gadang,Restoran,1
Jatimulyo,Toko,1
Jatimulyo,Masakan Lain,2
Jatimulyo,Warung,10
Jatimulyo,Minuman,8
Jatimulyo,Minuman,8
Jatimulyo,Lainnya,4
Jatimulyo,Restoran,1
Jatimulyo,Minuman,8
Jatimulyo,Warung,10
Jatimulyo,Masakan Lain,2
Jatimulyo,Fast Food,1
Jatimulyo,Lainnya,4
Jatimulyo,Seafood,1
Jatimulyo,Snack,2
Jatimulyo,Minuman,8
Jatimulyo,Warung,10
Jatimulyo,Minuman,8
Jatimulyo,Warung,10
Jatimulyo,Warung,10
Jatimulyo,Warung,10
Jatimulyo,Warung,10
Jatimulyo,Warung,10
Jatimulyo,Bakso,1
Jatimulyo,Warung,10
Jatimulyo,Olahan Nasi,1
Jatimulyo,Lainnya,4
Jatimulyo,Lainnya,4
Jatimulyo,Minuman,8
Jatimulyo,Mie,1
Jatimulyo,Minuman,8
Jatimulyo,Minuman,8
Jatimulyo,Warung,10
Jatimulyo,Snack,2
Karangbesuki,Olahan Nasi,1
Karangbesuki,Snack,2
Karangbesuki,Warung,4
Karangbesuki,Minuman,4
Karangbesuki,Minuman,4
Karangbesuki,Minuman,4
Karangbesuki,Warung,4
Karangbesuki,Minuman,4
Karangbesuki,Lainnya,1
Karangbesuki,Warung,4
Karangbesuki,Warung,4
Karangbesuki,Snack,2
Kasin,Minuman,3
Kasin,Olahan Nasi,3
Kasin,Minuman,3
Kasin,Warung,2
Kasin,Restoran,2
Kasin,Olahan Nasi,3
Kasin,Sate,1
Kasin,Warung,2
Kasin,Ayam,2
Kasin,Minuman,3
Kasin,Soto,2
Kasin,Olahan Nasi,3
Kasin,Ayam,2
Kasin,Soto,2
Kasin,Restoran,2
Kauman,Minuman,15
Kauman,Restoran,10
Kauman,Restoran,10
Kauman,Minuman,15
Kauman,Minuman,15
Kauman,Minuman,15
Kauman,Minuman,15
Kauman,Snack,5
Kauman,Masakan Lain,3
Kauman,Minuman,15
Kauman,Restoran,10
Kauman,Fast Food,2
Kauman,Fast Food,2
Kauman,Bakso,2
Kauman,Warung,6
Kauman,Warung,6
Kauman,Restoran,10
Kauman,Sate,1
Kauman,Minuman,15
Kauman,Minuman,15
Kauman,Minuman,15
Kauman,Warung,6
Kauman,Restoran,10
Kauman,Snack,5
Kauman,Lainnya,2
Kauman,Minuman,15
Kauman,Restoran,10
Kauman,Minuman,15
Kauman,Masakan Lain,3
Kauman,Seafood,1
Kauman,Minuman,15
Kauman,Warung,6
Kauman,Masakan Cina,1
Kauman,Bakso,2
Kauman,Warung,6
Kauman,Mie,2
Kauman,Toko,2
Kauman,Ayam,2
Kauman,Snack,5
Kauman,Restoran,10
Kauman,Minuman,15
Kauman,Toko,2
Kauman,Warung,6
Kauman,Lainnya,2
Kauman,Restoran,10
Kauman,Mie,2
Kauman,Restoran,10
Kauman,Snack,5
Kauman,Masakan Lain,3
Kauman,Ayam,2
Kauman,Minuman,15
Kauman,Minuman,15
Kauman,Restoran,10
Kauman,Snack,5
Kebonsari,Warung,1
Kedungkandang,Warung,14
Kedungkandang,Snack,3
Kedungkandang,Minuman,5
Kedungkandang,Restoran,2
Kedungkandang,Warung,14
Kedungkandang,Fast Food,1
Kedungkandang,Olahan Nasi,5
Kedungkandang,Warung,14
Kedungkandang,Masakan Lain,3
Kedungkandang,Olahan Nasi,5
Kedungkandang,Toko,1
Kedungkandang,Olahan Nasi,5
Kedungkandang,Warung,14
Kedungkandang,Soto,2
Kedungkandang,Supermarket,1
Kedungkandang,Warung,14
Kedungkandang,Olahan Nasi,5
Kedungkandang,Minuman,5
Kedungkandang,Minuman,5
Kedungkandang,Minuman,5
Kedungkandang,Lainnya,4
Kedungkandang,Olahan Nasi,5
Kedungkandang,Masakan Lain,3
Kedungkandang,Lainnya,4
Kedungkandang,Restoran,2
Kedungkandang,Snack,3
Kedungkandang,Warung,14
Kedungkandang,Warung,14
Kedungkandang,Lainnya,4
Kedungkandang,Warung,14
Kedungkandang,Masakan Lain,3
Kedungkandang,Warung,14
Kedungkandang,Warung,14
Kedungkandang,Warung,14
Kedungkandang,Warung,14
Kedungkandang,Warung,14
Kedungkandang,Snack,3
Kedungkandang,Lainnya,4
Kedungkandang,Minuman,5
Kedungkandang,Sayuran,1
Kedungkandang,Warung,14
Kedungkandang,Soto,2
Ketawanggede,Warung,9
Ketawanggede,Warung,9
Ketawanggede,Warung,9
Ketawanggede,Warung,9
Ketawanggede,Soto,1
Ketawanggede,Warung,9
Ketawanggede,Warung,9
Ketawanggede,Warung,9
Ketawanggede,Masakan Cina,1
Ketawanggede,Seafood,1
Ketawanggede,Warung,9
Ketawanggede,Pasar,1
Ketawanggede,Ayam,2
Ketawanggede,Ayam,2
Ketawanggede,Warung,9
Kiduldalem,Restoran,4
Kiduldalem,Snack,2
Kiduldalem,Olahan Nasi,6
Kiduldalem,Restoran,4
Kiduldalem,Restoran,4
Kiduldalem,Restoran,4
Kiduldalem,Lainnya,4
Kiduldalem,Masakan Lain,2
Kiduldalem,Lainnya,4
Kiduldalem,Olahan Nasi,6
Kiduldalem,Olahan Nasi,6
Kiduldalem,Warung,5
Kiduldalem,Warung,5
Kiduldalem,Lainnya,4
Kiduldalem,Toko,1
Kiduldalem,Seafood,1
Kiduldalem,Olahan Nasi,6
Kiduldalem,Warung,5
Kiduldalem,Snack,2
Kiduldalem,Olahan Nasi,6
Kiduldalem,Rawon,2
Kiduldalem,Masakan Cina,1
Kiduldalem,Rawon,2
Kiduldalem,Warung,5
Kiduldalem,Olahan Nasi,6
Kiduldalem,Warung,5
Kiduldalem,Soto,1
Kiduldalem,Masakan Lain,2
Kiduldalem,Lainnya,4
Klojen,Lainnya,43
Klojen,Minuman,48
Klojen,Mie,18
Klojen,Minuman,48
Klojen,Warung,53
Klojen,Warung,53
Klojen,Olahan Nasi,12
Klojen,Masakan Cina,6
Klojen,Fast Food,3
Klojen,Minuman,48
Klojen,Lainnya,43
Klojen,Masakan Lain,15
Klojen,Snack,30
Klojen,Olahan Nasi,12
Klojen,Lainnya,43
Klojen,Snack,30
Klojen,Restoran,22
Klojen,Mie,18
Klojen,Warung,53
Klojen,Bakso,10
Klojen,Minuman,48
Klojen,Lainnya,43
Klojen,Restoran,22
Klojen,Bakso,10
Klojen,Warung,53
Klojen,Minuman,48
Klojen,Minuman,48
Klojen,Minuman,48
Klojen,Olahan Nasi,12
Klojen,Seafood,5
Klojen,Lainnya,43
Klojen,Mie,18
Klojen,Bakso,10
Klojen,Snack,30
Klojen,Frozen Food,3
Klojen,Toko,13
Klojen,Lainnya,43
Klojen,Lainnya,43
Klojen,Mie,18
Klojen,Lainnya,43
Klojen,Olahan Nasi,12
Klojen,Snack,30
Klojen,Snack,30
Klojen,Pasar,3
Klojen,Warung,53
Klojen,Lainnya,43
Klojen,Restoran,22
Klojen,Minuman,48
Klojen,Sayuran,9
Klojen,Toko,13
Klojen,Masakan Cina,6
Klojen,Warung,53
Klojen,Mie,18
Klojen,Mie,18
Klojen,Warung,53
Klojen,Minuman,48
Klojen,Restoran,22
Klojen,Ayam,10
Klojen,Masakan Cina,6
Klojen,Masakan Lain,15
Klojen,Minuman,48
Klojen,Minuman,48
Klojen,Ayam,10
Klojen,Mie,18
Klojen,Minuman,48
Klojen,Seafood,5
Klojen,Warung,53
Klojen,Lainnya,43
Klojen,Minuman,48
Klojen,Toko,13
Klojen,Bakso,10
Klojen,Warung,53
Klojen,Warung,53
Klojen,Olahan Nasi,12
Klojen,Olahan Nasi,12
Klojen,Mie,18
Klojen,Olahan Nasi,12
Klojen,Sayuran,9
Klojen,Lainnya,43
Klojen,Snack,30
Klojen,Minuman,48
Klojen,Warung,53
Klojen,Restoran,22
Klojen,Snack,30
Klojen,Ayam,10
Klojen,Sayuran,9
Klojen,Minuman,48
Klojen,Sayuran,9
Klojen,Lainnya,43
Klojen,Warung,53
Klojen,Warung,53
Klojen,Sate,4
Klojen,Restoran,22
Klojen,Sayuran,9
Klojen,Soto,6
Klojen,Minuman,48
Klojen,Minuman,48
Klojen,Soto,6
Klojen,Lainnya,43
Klojen,Frozen Food,3
Klojen,Bakso,10
Klojen,Warung,53
Klojen,Warung,53
Klojen,Minuman,48
Klojen,Minuman,48
Klojen,Pasar,3
Klojen,Ayam,10
Klojen,Warung,53
Klojen,Minuman,48
Klojen,Warung,53
Klojen,Lainnya,43
Klojen,Lainnya,43
Klojen,Lainnya,43
Klojen,Lainnya,43
Klojen,Snack,30
Klojen,Restoran,22
Klojen,Soto,6
Klojen,Rawon,4
Klojen,Mie,18
Klojen,Warung,53
Klojen,Warung,53
Klojen,Warung,53
Klojen,Minuman,48
Klojen,Olahan Nasi,12
Klojen,Minuman,48
Klojen,Restoran,22
Klojen,Warung,53
Klojen,Mie,18
Klojen,Snack,30
Klojen,Minuman,48
Klojen,Warung,53
Klojen,Warung,53
Klojen,Toko,13
Klojen,Restoran,22
Klojen,Lainnya,43
Klojen,Minuman,48
Klojen,Warung,53
Klojen,Soto,6
Klojen,Lainnya,43
Klojen,Minuman,48
Klojen,Sate,4
Klojen,Lainnya,43
Klojen,Lainnya,43
Klojen,Supermarket,2
Klojen,Snack,30
Klojen,Ayam,10
Klojen,Mie,18
Klojen,Lainnya,43
Klojen,Mie,18
Klojen,Warung,53
Klojen,Seafood,5
Klojen,Warung,53
Klojen,Lainnya,43
Klojen,Minuman,48
Klojen,Restoran,22
Klojen,Snack,30
Klojen,Bakso,10
Klojen,Warung,53
Klojen,Warung,53
Klojen,Warung,53
Klojen,Snack,30
Klojen,Warung,53
Klojen,Warung,53
Klojen,Minuman,48
Klojen,Toko,13
Klojen,Lainnya,43
Klojen,Warung,53
Klojen,Mie,18
Klojen,Seafood,5
Klojen,Masakan Lain,15
Klojen,Sayuran,9
Klojen,Masakan Lain,15
Klojen,Sate,4
Klojen,Snack,30
Klojen,Restoran,22
Klojen,Masakan Cina,6
Klojen,Masakan Cina,6
Klojen,Masakan Lain,15
Klojen,Fast Food,3
Klojen,Lainnya,43
Klojen,Minuman,48
Klojen,Snack,30
Klojen,Warung,53
Klojen,Masakan Lain,15
Klojen,Warung,53
Klojen,Restoran,22
Klojen,Warung,53
Klojen,Supermarket,2
Klojen,Toko,13
Klojen,Sayuran,9
Klojen,Restoran,22
Klojen,Restoran,22
Klojen,Snack,30
Klojen,Minuman,48
Klojen,Restoran,22
Klojen,Toko,13
Klojen,Seafood,5
Klojen,Restoran,22
Klojen,Minuman,48
Klojen,Snack,30
Klojen,Snack,30
Klojen,Rawon,4
Klojen,Sayuran,9
Klojen,Bakso,10
Klojen,Lainnya,43
Klojen,Snack,30
Klojen,Lainnya,43
Klojen,Snack,30
Klojen,Minuman,48
Klojen,Snack,30
Klojen,Minuman,48
Klojen,Lainnya,43
Klojen,Masakan Lain,15
Klojen,Toko,13
Klojen,Masakan Lain,15
Klojen,Minuman,48
Klojen,Pasar,3
Klojen,Warung,53
Klojen,Restoran,22
Klojen,Warung,53
Klojen,Soto,6
Klojen,Lainnya,43
Klojen,Mie,18
Klojen,Warung,53
Klojen,Warung,53
Klojen,Snack,30
Klojen,Minuman,48
Klojen,Masakan Lain,15
Klojen,Masakan Cina,6
Klojen,Warung,53
Klojen,Sate,4
Klojen,Minuman,48
Klojen,Minuman,48
Klojen,Warung,53
Klojen,Soto,6
Klojen,Minuman,48
Klojen,Ayam,10
Klojen,Warung,53
Klojen,Ayam,10
Klojen,Warung,53
Klojen,Minuman,48
Klojen,Rawon,4
Klojen,Fast Food,3
Klojen,Warung,53
Klojen,Bakso,10
Klojen,Masakan Lain,15
Klojen,Minuman,48
Klojen,Restoran,22
Klojen,Lainnya,43
Klojen,Snack,30
Klojen,Masakan Lain,15
Klojen,Minuman,48
Klojen,Warung,53
Klojen,Snack,30
Klojen,Frozen Food,3
Klojen,Ayam,10
Klojen,Bakso,10
Klojen,Snack,30
Klojen,Lainnya,43
Klojen,Warung,53
Klojen,Olahan Nasi,12
Klojen,Lainnya,43
Klojen,Restoran,22
Klojen,Warung,53
Klojen,Snack,30
Klojen,Toko,13
Klojen,Ayam,10
Klojen,Masakan Lain,15
Klojen,Masakan Lain,15
Klojen,Lainnya,43
Klojen,Snack,30
Klojen,Restoran,22
Klojen,Lainnya,43
Klojen,Lainnya,43
Klojen,Olahan Nasi,12
Klojen,Bakso,10
Klojen,Minuman,48
Klojen,Mie,18
Klojen,Lainnya,43
Klojen,Sayuran,9
Klojen,Toko,13
Klojen,Toko,13
Klojen,Lainnya,43
Klojen,Lainnya,43
Klojen,Mie,18
Klojen,Lainnya,43
Klojen,Warung,53
Klojen,Minuman,48
Klojen,Minuman,48
Klojen,Toko,13
Klojen,Minuman,48
Klojen,Warung,53
Klojen,Lainnya,43
Klojen,Warung,53
Klojen,Snack,30
Klojen,Lainnya,43
Klojen,Warung,53
Klojen,Restoran,22
Klojen,Warung,53
Klojen,Snack,30
Klojen,Masakan Lain,15
Klojen,Lainnya,43
Klojen,Minuman,48
Klojen,Snack,30
Klojen,Rawon,4
Klojen,Restoran,22
Klojen,Minuman,48
Klojen,Minuman,48
Klojen,Olahan Nasi,12
Klojen,Minuman,48
Klojen,Warung,53
Klojen,Lainnya,43
Klojen,Mie,18
Klojen,Toko,13
Klojen,Snack,30
Klojen,Olahan Nasi,12
Klojen,Masakan Lain,15
Klojen,Ayam,10
Klojen,Mie,18
Kotalama,Warung,1
Lowokwaru,Minuman,29
Lowokwaru,Frozen Food,3
Lowokwaru,Restoran,12
Lowokwaru,Bakso,4
Lowokwaru,Olahan Nasi,15
Lowokwaru,Minuman,29
Lowokwaru,Warung,28
Lowokwaru,Warung,28
Lowokwaru,Warung,28
Lowokwaru,Olahan Nasi,15
Lowokwaru,Warung,28
Lowokwaru,Lainnya,25
Lowokwaru,Minuman,29
Lowokwaru,Minuman,29
Lowokwaru,Warung,28
Lowokwaru,Warung,28
Lowokwaru,Ayam,5
Lowokwaru,Minuman,29
Lowokwaru,Minuman,29
Lowokwaru,Lainnya,25
Lowokwaru,Minuman,29
Lowokwaru,Minuman,29
Lowokwaru,Olahan Nasi,15
Lowokwaru,Restoran,12
Lowokwaru,Minuman,29
Lowokwaru,Minuman,29
Lowokwaru,Masakan Cina,2
Lowokwaru,Minuman,29
Lowokwaru,Olahan Nasi,15
Lowokwaru,Minuman,29
Lowokwaru,Restoran,12
Lowokwaru,Lainnya,25
Lowokwaru,Lainnya,25
Lowokwaru,Olahan Nasi,15
Lowokwaru,Minuman,29
Lowokwaru,Minuman,29
Lowokwaru,Minuman,29
Lowokwaru,Minuman,29
Lowokwaru,Restoran,12
Lowokwaru,Lainnya,25
Lowokwaru,Warung,28
Lowokwaru,Masakan Lain,6
Lowokwaru,Restoran,12
Lowokwaru,Snack,12
Lowokwaru,Snack,12
Lowokwaru,Warung,28
Lowokwaru,Warung,28
Lowokwaru,Olahan Nasi,15
Lowokwaru,Lainnya,25
Lowokwaru,Lainnya,25
Lowokwaru,Restoran,12
Lowokwaru,Lainnya,25
Lowokwaru,Olahan Nasi,15
Lowokwaru,Fast Food,3
Lowokwaru,Soto,4
Lowokwaru,Lainnya,25
Lowokwaru,Warung,28
Lowokwaru,Olahan Nasi,15
Lowokwaru,Olahan Nasi,15
Lowokwaru,Ayam,5
Lowokwaru,Warung,28
Lowokwaru,Snack,12
Lowokwaru,Warung,28
Lowokwaru,Warung,28
Lowokwaru,Warung,28
Lowokwaru,Olahan Nasi,15
Lowokwaru,Pasar,2
Lowokwaru,Snack,12
Lowokwaru,Warung,28
Lowokwaru,Snack,12
Lowokwaru,Seafood,1
Lowokwaru,Warung,28
Lowokwaru,Minuman,29
Lowokwaru,Snack,12
Lowokwaru,Warung,28
Lowokwaru,Restoran,12
Lowokwaru,Fast Food,3
Lowokwaru,Mie,4
Lowokwaru,Bakso,4
Lowokwaru,Soto,4
Lowokwaru,Pasar,2
Lowokwaru,Snack,12
Lowokwaru,Warung,28
Lowokwaru,Masakan Lain,6
Lowokwaru,Snack,12
Lowokwaru,Restoran,12
Lowokwaru,Supermarket,1
Lowokwaru,Lainnya,25
Lowokwaru,Lainnya,25
Lowokwaru,Warung,28
Lowokwaru,Mie,4
Lowokwaru,Snack,12
Lowokwaru,Restoran,12
Lowokwaru,Lainnya,25
Lowokwaru,Lainnya,25
Lowokwaru,Restoran,12
Lowokwaru,Snack,12
Lowokwaru,Masakan Lain,6
Lowokwaru,Warung,28
Lowokwaru,Toko,1
Lowokwaru,Warung,28
Lowokwaru,Masakan Lain,6
Lowokwaru,Snack,12
Lowokwaru,Minuman,29
Lowokwaru,Minuman,29
Lowokwaru,Lainnya,25
Lowokwaru,Warung,28
Lowokwaru,Lainnya,25
Lowokwaru,Minuman,29
Lowokwaru,Lainnya,25
Lowokwaru,Frozen Food,3
Lowokwaru,Ayam,5
Lowokwaru,Soto,4
Lowokwaru,Minuman,29
Lowokwaru,Olahan Nasi,15
Lowokwaru,Minuman,29
Lowokwaru,Lainnya,25
Lowokwaru,Lainnya,25
Lowokwaru,Frozen Food,3
Lowokwaru,Olahan Nasi,15
Lowokwaru,Restoran,12
Lowokwaru,Minuman,29
Lowokwaru,Masakan Lain,6
Lowokwaru,Minuman,29
Lowokwaru,Mie,4
Lowokwaru,Olahan Nasi,15
Lowokwaru,Lainnya,25
Lowokwaru,Minuman,29
Lowokwaru,Olahan Nasi,15
Lowokwaru,Sayuran,1
Lowokwaru,Warung,28
Lowokwaru,Warung,28
Lowokwaru,Bakso,4
Lowokwaru,Sate,1
Lowokwaru,Minuman,29
Lowokwaru,Bakso,4
Lowokwaru,Masakan Lain,6
Lowokwaru,Olahan Nasi,15
Lowokwaru,Warung,28
Lowokwaru,Snack,12
Lowokwaru,Lainnya,25
Lowokwaru,Minuman,29
Lowokwaru,Lainnya,25
Lowokwaru,Fast Food,3
Lowokwaru,Warung,28
Lowokwaru,Warung,28
Lowokwaru,Ayam,5
Lowokwaru,Mie,4
Lowokwaru,Minuman,29
Lowokwaru,Warung,28
Lowokwaru,Lainnya,25
Lowokwaru,Lainnya,25
Lowokwaru,Minuman,29
Lowokwaru,Masakan Cina,2
Lowokwaru,Soto,4
Lowokwaru,Lainnya,25
Lowokwaru,Restoran,12
Lowokwaru,Lainnya,25
Lowokwaru,Ayam,5
Mojolangu,Masakan Lain,1
Mulyorejo,Seafood,1
Purwantoro,Sate,1
Purwantoro,Lainnya,1
Rampal Celaket,Supermarket,1
Samaan,Warung,1
Sawojajar,Ayam,1
Sawojajar,Lainnya,2
Sawojajar,Lainnya,2
Sawojajar,Masakan Lain,1
Sukun,Warung,8
Sukun,Minuman,2
Sukun,Lainnya,5
Sukun,Warung,8
Sukun,Lainnya,5
Sukun,Warung,8
Sukun,Minuman,2
Sukun,Warung,8
Sukun,Mie,1
Sukun,Lainnya,5
Sukun,Lainnya,5
Sukun,Snack,1
Sukun,Warung,8
Sukun,Warung,8
Sukun,Olahan Nasi,1
Sukun,Warung,8
Sukun,Restoran,1
Sukun,Lainnya,5
Sukun,Warung,8
