Kelurahan,Category,Review_rate
Arjosari,Warung,206.5
Arjosari,Restoran,88.75
Arjosari,Minuman,203.8
Arjosari,Olahan Nasi,11.75
Arjosari,Warung,206.5
Balearjosari,Warung,6.95
Bandungrejosari,Warung,44.35
Bandungrejosari,Snack,286.8
Bandungrejosari,Restoran,389.7953692848769
Bandungrejosari,Restoran,389.7953692848769
Bandungrejosari,Warung,44.35
Bandungrejosari,Warung,44.35
Bandungrejosari,Olahan Nasi,22.3
Bandungrejosari,Olahan Nasi,22.3
Bareng,Warung,3554.740738569754
Bareng,Sayuran,733.8
Bareng,Warung,3554.740738569754
Bareng,Warung,3554.740738569754
Bareng,Minuman,1976.8
Bareng,Minuman,1976.8
Bareng,Lainnya,350.7
Bareng,Masakan Lain,530.1
Bareng,Minuman,1976.8
Bareng,Minuman,1976.8
Bareng,Olahan Nasi,3309.2
Bareng,Olahan Nasi,3309.2
Bareng,Restoran,80.25
Bareng,Seafood,70.4
Bareng,Minuman,1976.8
Bareng,Masakan Lain,530.1
Bareng,Rawon,1148.65
Bareng,Warung,3554.740738569754
Bareng,Olahan Nasi,3309.2
Bareng,Pasar,655.65
Bareng,Soto,35.2
Bareng,Mie,1448.25
Bareng,Snack,395.25
Bareng,Warung,3554.740738569754
Blimbing,Snack,2992.4
Blimbing,Snack,2992.4
Blimbing,Snack,2992.4
Blimbing,Warung,3546.3
Blimbing,Snack,2992.4
Blimbing,Bakso,3908.45
Blimbing,Warung,3546.3
Blimbing,Lainnya,5562.740738569753
Blimbing,Minuman,1690.9
Blimbing,Olahan Nasi,792.25
Blimbing,Lainnya,5562.740738569753
Blimbing,Lainnya,5562.740738569753
Blimbing,Bakso,3908.45
Blimbing,Warung,3546.3
Blimbing,Restoran,2679.6
Blimbing,Ayam,1530.55
Blimbing,Snack,2992.4
Blimbing,Warung,3546.3
Blimbing,Snack,2992.4
Blimbing,Warung,3546.3
Blimbing,Lainnya,5562.740738569753
Blimbing,Lainnya,5562.740738569753
Blimbing,Snack,2992.4
Blimbing,Lainnya,5562.740738569753
Blimbing,Sayuran,22.5
Blimbing,Masakan Lain,400.9453692848769
Blimbing,Minuman,1690.9
Blimbing,Warung,3546.3
Blimbing,Lainnya,5562.740738569753
Blimbing,Warung,3546.3
Blimbing,Warung,3546.3
Blimbing,Restoran,2679.6
Blimbing,Rawon,4723.5
Blimbing,Olahan Nasi,792.25
Blimbing,Warung,3546.3
Blimbing,Snack,2992.4
Blimbing,Snack,2992.4
Blimbing,Olahan Nasi,792.25
Blimbing,Snack,2992.4
Blimbing,Snack,2992.4
Blimbing,Snack,2992.4
Blimbing,Minuman,1690.9
Blimbing,Lainnya,5562.740738569753
Blimbing,Restoran,2679.6
Blimbing,Restoran,2679.6
Blimbing,Snack,2992.4
Blimbing,Ayam,1530.55
Blimbing,Masakan Cina,229.15
Blimbing,Lainnya,5562.740738569753
Blimbing,Warung,3546.3
Blimbing,Lainnya,5562.740738569753
Blimbing,Restoran,2679.6
Blimbing,Minuman,1690.9
Blimbing,Sate,1144.7
Blimbing,Minuman,1690.9
Blimbing,Minuman,1690.9
Blimbing,Mie,2231.85
Blimbing,Warung,3546.3
Blimbing,Restoran,2679.6
Blimbing,Ayam,1530.55
Blimbing,Lainnya,5562.740738569753
Blimbing,Snack,2992.4
Blimbing,Minuman,1690.9
Blimbing,Restoran,2679.6
Blimbing,Snack,2992.4
Blimbing,Minuman,1690.9
Blimbing,Masakan Cina,229.15
Blimbing,Rawon,4723.5
Blimbing,Minuman,1690.9
Blimbing,Minuman,1690.9
Blimbing,Minuman,1690.9
Blimbing,Restoran,2679.6
Blimbing,Olahan Nasi,792.25
Blimbing,Warung,3546.3
Blimbing,Snack,2992.4
Blimbing,Olahan Nasi,792.25
Blimbing,Warung,3546.3
Blimbing,Mie,2231.85
Blimbing,Rawon,4723.5
Blimbing,Masakan Lain,400.9453692848769
Blimbing,Restoran,2679.6
Blimbing,Rawon,4723.5
Blimbing,Masakan Lain,400.9453692848769
Blimbing,Warung,3546.3
Blimbing,Warung,3546.3
Blimbing,Rawon,4723.5
Blimbing,Toko,3.5
Blimbing,Minuman,1690.9
Blimbing,Minuman,1690.9
Blimbing,Restoran,2679.6
Blimbing,Snack,2992.4
Blimbing,Warung,3546.3
Blimbing,Minuman,1690.9
Blimbing,Minuman,1690.9
Bumiayu,Warung,566.3
Bumiayu,Minuman,45.65
Bumiayu,Restoran,3.0
Buring,Restoran,399.3
Buring,Masakan Cina,29.25
Buring,Snack,414.05
Buring,Lainnya,375.9
Buring,Minuman,311.8
Buring,Lainnya,375.9
Buring,Soto,27.4
Buring,Snack,414.05
Buring,Warung,392.4453692848769
Buring,Mie,817.8
Buring,Warung,392.4453692848769
Cemorokandang,Warung,4.4
Cemorokandang,Snack,31.2
Ciptomulyo,Lainnya,23.8
Dinoyo,Olahan Nasi,1344.3407385697537
Dinoyo,Olahan Nasi,1344.3407385697537
Dinoyo,Warung,324.7
Dinoyo,Snack,159.3
Dinoyo,Lainnya,23.65
Dinoyo,Minuman,1445.45
Dinoyo,Warung,324.7
Dinoyo,Warung,324.7
Dinoyo,Masakan Lain,4.5
Dinoyo,Toko,128.15
Dinoyo,Warung,324.7
Dinoyo,Lainnya,23.65
Dinoyo,Warung,324.7
Dinoyo,Minuman,1445.45
Dinoyo,Minuman,1445.45
Dinoyo,Warung,324.7
Dinoyo,Restoran,134.15
Dinoyo,Warung,324.7
Dinoyo,Pasar,516.65
Dinoyo,Warung,324.7
Dinoyo,Olahan Nasi,1344.3407385697537
Dinoyo,Minuman,1445.45
Dinoyo,Minuman,1445.45
Dinoyo,Warung,324.7
Dinoyo,Minuman,1445.45
Dinoyo,Minuman,1445.45
Dinoyo,Olahan Nasi,1344.3407385697537
Dinoyo,Minuman,1445.45
Dinoyo,Snack,159.3
Gadang,Warung,12.3
Gadang,Warung,12.3
Gadang,Warung,12.3
Gadang,Rawon,5.8
Gadang,Masakan Lain,5.95
Gadang,Restoran,7.05
Jatimulyo,Toko,9.95
Jatimulyo,Masakan Lain,13.45
Jatimulyo,Warung,2450.65
Jatimulyo,Minuman,4480.55
Jatimulyo,Minuman,4480.55
Jatimulyo,Lainnya,2755.05
Jatimulyo,Restoran,3.0
Jatimulyo,Minuman,4480.55
Jatimulyo,Warung,2450.65
Jatimulyo,Masakan Lain,13.45
Jatimulyo,Fast Food,2485.3
Jatimulyo,Lainnya,2755.05
Jatimulyo,Seafood,153.25
Jatimulyo,Snack,1296.8
Jatimulyo,Minuman,4480.55
Jatimulyo,Warung,2450.65
Jatimulyo,Minuman,4480.55
Jatimulyo,Warung,2450.65
Jatimulyo,Warung,2450.65
Jatimulyo,Warung,2450.65
Jatimulyo,Warung,2450.65
Jatimulyo,Warung,2450.65
Jatimulyo,Bakso,948.75
Jatimulyo,Warung,2450.65
Jatimulyo,Olahan Nasi,18.5
Jatimulyo,Lainnya,2755.05
Jatimulyo,Lainnya,2755.05
Jatimulyo,Minuman,4480.55
Jatimulyo,Mie,3976.65
Jatimulyo,Minuman,4480.55
Jatimulyo,Minuman,4480.55
Jatimulyo,Warung,2450.65
Jatimulyo,Snack,1296.8
Karangbesuki,Olahan Nasi,254.8
Karangbesuki,Snack,340.15
Karangbesuki,Warung,358.2
Karangbesuki,Minuman,1443.25
Karangbesuki,Minuman,1443.25
Karangbesuki,Minuman,1443.25
Karangbesuki,Warung,358.2
Karangbesuki,Minuman,1443.25
Karangbesuki,Lainnya,648.35
Karangbesuki,Warung,358.2
Karangbesuki,Warung,358.2
Karangbesuki,Snack,340.15
Kasin,Minuman,492.15
Kasin,Olahan Nasi,1734.65
Kasin,Minuman,492.15
Kasin,Warung,1237.85
Kasin,Restoran,940.5953692848769
Kasin,Olahan Nasi,1734.65
Kasin,Sate,311.8
Kasin,Warung,1237.85
Kasin,Ayam,586.5
Kasin,Minuman,492.15
Kasin,Soto,5564.0
Kasin,Olahan Nasi,1734.65
Kasin,Ayam,586.5
Kasin,Soto,5564.0
Kasin,Restoran,940.5953692848769
Kauman,Minuman,5082.0
Kauman,Restoran,5904.2
Kauman,Restoran,5904.2
Kauman,Minuman,5082.0
Kauman,Minuman,5082.0
Kauman,Minuman,5082.0
Kauman,Minuman,5082.0
Kauman,Snack,6816.5
Kauman,Masakan Lain,533.7
Kauman,Minuman,5082.0
Kauman,Restoran,5904.2
Kauman,Fast Food,3086.9
Kauman,Fast Food,3086.9
Kauman,Bakso,431.1
Kauman,Warung,1115.745369284877
Kauman,Warung,1115.745369284877
Kauman,Restoran,5904.2
Kauman,Sate,70.85
Kauman,Minuman,5082.0
Kauman,Minuman,5082.0
Kauman,Minuman,5082.0
Kauman,Warung,1115.745369284877
Kauman,Restoran,5904.2
Kauman,Snack,6816.5
Kauman,Lainnya,1970.05
Kauman,Minuman,5082.0
Kauman,Restoran,5904.2
Kauman,Minuman,5082.0
Kauman,Masakan Lain,533.7
Kauman,Seafood,1343.35
Kauman,Minuman,5082.0
Kauman,Warung,1115.745369284877
Kauman,Masakan Cina,662.75
Kauman,Bakso,431.1
Kauman,Warung,1115.745369284877
Kauman,Mie,2486.3
Kauman,Toko,3724.75
Kauman,Ayam,3129.45
Kauman,Snack,6816.5
Kauman,Restoran,5904.2
Kauman,Minuman,5082.0
Kauman,Toko,3724.75
Kauman,Warung,1115.745369284877
Kauman,Lainnya,1970.05
Kauman,Restoran,5904.2
Kauman,Mie,2486.3
Kauman,Restoran,5904.2
Kauman,Snack,6816.5
Kauman,Masakan Lain,533.7
Kauman,Ayam,3129.45
Kauman,Minuman,5082.0
Kauman,Minuman,5082.0
Kauman,Restoran,5904.2
Kauman,Snack,6816.5
Kebonsari,Warung,386.7953692848769
Kedungkandang,Warung,2028.236107854631
Kedungkandang,Snack,1346.15
Kedungkandang,Minuman,381.65
Kedungkandang,Restoran,1055.65
Kedungkandang,Warung,2028.236107854631
Kedungkandang,Fast Food,5.5
Kedungkandang,Olahan Nasi,1044.0
Kedungkandang,Warung,2028.236107854631
Kedungkandang,Masakan Lain,13.15
Kedungkandang,Olahan Nasi,1044.0
Kedungkandang,Toko,3.5
Kedungkandang,Olahan Nasi,1044.0
Kedungkandang,Warung,2028.236107854631
Kedungkandang,Soto,330.45
Kedungkandang,Supermarket,1040.8
Kedungkandang,Warung,2028.236107854631
Kedungkandang,Olahan Nasi,1044.0
Kedungkandang,Minuman,381.65
Kedungkandang,Minuman,381.65
Kedungkandang,Minuman,381.65
Kedungkandang,Lainnya,548.445369284877
Kedungkandang,Olahan Nasi,1044.0
Kedungkandang,Masakan Lain,13.15
Kedungkandang,Lainnya,548.445369284877
Kedungkandang,Restoran,1055.65
Kedungkandang,Snack,1346.15
Kedungkandang,Warung,2028.236107854631
Kedungkandang,Warung,2028.236107854631
Kedungkandang,Lainnya,548.445369284877
Kedungkandang,Warung,2028.236107854631
Kedungkandang,Masakan Lain,13.15
Kedungkandang,Warung,2028.236107854631
Kedungkandang,Warung,2028.236107854631
Kedungkandang,Warung,2028.236107854631
Kedungkandang,Warung,2028.236107854631
Kedungkandang,Warung,2028.236107854631
Kedungkandang,Snack,1346.15
Kedungkandang,Lainnya,548.445369284877
Kedungkandang,Minuman,381.65
Kedungkandang,Sayuran,8.8
Kedungkandang,Warung,2028.236107854631
Kedungkandang,Soto,330.45
Ketawanggede,Warung,1402.05
Ketawanggede,Warung,1402.05
Ketawanggede,Warung,1402.05
Ketawanggede,Warung,1402.05
Ketawanggede,Soto,160.8
Ketawanggede,Warung,1402.05
Ketawanggede,Warung,1402.05
Ketawanggede,Warung,1402.05
Ketawanggede,Masakan Cina,30.35
Ketawanggede,Seafood,6.5
Ketawanggede,Warung,1402.05
Ketawanggede,Pasar,7.75
Ketawanggede,Ayam,564.65
Ketawanggede,Ayam,564.65
Ketawanggede,Warung,1402.05
Kiduldalem,Restoran,4748.05
Kiduldalem,Snack,86.0
Kiduldalem,Olahan Nasi,859.7
Kiduldalem,Restoran,4748.05
Kiduldalem,Restoran,4748.05
Kiduldalem,Restoran,4748.05
Kiduldalem,Lainnya,3419.2
Kiduldalem,Masakan Lain,279.25
Kiduldalem,Lainnya,3419.2
Kiduldalem,Olahan Nasi,859.7
Kiduldalem,Olahan Nasi,859.7
Kiduldalem,Warung,446.59536928487694
Kiduldalem,Warung,446.59536928487694
Kiduldalem,Lainnya,3419.2
Kiduldalem,Toko,4.25
Kiduldalem,Seafood,1231.75
Kiduldalem,Olahan Nasi,859.7
Kiduldalem,Warung,446.59536928487694
Kiduldalem,Snack,86.0
Kiduldalem,Olahan Nasi,859.7
Kiduldalem,Rawon,4697.4
Kiduldalem,Masakan Cina,11.95
Kiduldalem,Rawon,4697.4
Kiduldalem,Warung,446.59536928487694
Kiduldalem,Olahan Nasi,859.7
Kiduldalem,Warung,446.59536928487694
Kiduldalem,Soto,54.65
Kiduldalem,Masakan Lain,279.25
Kiduldalem,Lainnya,3419.2
Klojen,Lainnya,11154.986107854631
Klojen,Minuman,15239.695369284877
Klojen,Mie,10453.095369284876
Klojen,Minuman,15239.695369284877
Klojen,Warung,12486.890738569753
Klojen,Warung,12486.890738569753
Klojen,Olahan Nasi,2439.3
Klojen,Masakan Cina,6089.7
Klojen,Fast Food,5250.1
Klojen,Minuman,15239.695369284877
Klojen,Lainnya,11154.986107854631
Klojen,Masakan Lain,2428.645369284877
Klojen,Snack,7237.595369284877
Klojen,Olahan Nasi,2439.3
Klojen,Lainnya,11154.986107854631
Klojen,Snack,7237.595369284877
Klojen,Restoran,14601.381477139506
Klojen,Mie,10453.095369284876
Klojen,Warung,12486.890738569753
Klojen,Bakso,19706.0
Klojen,Minuman,15239.695369284877
Klojen,Lainnya,11154.986107854631
Klojen,Restoran,14601.381477139506
Klojen,Bakso,19706.0
Klojen,Warung,12486.890738569753
Klojen,Minuman,15239.695369284877
Klojen,Minuman,15239.695369284877
Klojen,Minuman,15239.695369284877
Klojen,Olahan Nasi,2439.3
Klojen,Seafood,6541.45
Klojen,Lainnya,11154.986107854631
Klojen,Mie,10453.095369284876
Klojen,Bakso,19706.0
Klojen,Snack,7237.595369284877
Klojen,Frozen Food,423.75
Klojen,Toko,2118.3907385697535
Klojen,Lainnya,11154.986107854631
Klojen,Lainnya,11154.986107854631
Klojen,Mie,10453.095369284876
Klojen,Lainnya,11154.986107854631
Klojen,Olahan Nasi,2439.3
Klojen,Snack,7237.595369284877
Klojen,Snack,7237.595369284877
Klojen,Pasar,7181.8
Klojen,Warung,12486.890738569753
Klojen,Lainnya,11154.986107854631
Klojen,Restoran,14601.381477139506
Klojen,Minuman,15239.695369284877
Klojen,Sayuran,2338.5
Klojen,Toko,2118.3907385697535
Klojen,Masakan Cina,6089.7
Klojen,Warung,12486.890738569753
Klojen,Mie,10453.095369284876
Klojen,Mie,10453.095369284876
Klojen,Warung,12486.890738569753
Klojen,Minuman,15239.695369284877
Klojen,Restoran,14601.381477139506
Klojen,Ayam,4541.85
Klojen,Masakan Cina,6089.7
Klojen,Masakan Lain,2428.645369284877
Klojen,Minuman,15239.695369284877
Klojen,Minuman,15239.695369284877
Klojen,Ayam,4541.85
Klojen,Mie,10453.095369284876
Klojen,Minuman,15239.695369284877
Klojen,Seafood,6541.45
Klojen,Warung,12486.890738569753
Klojen,Lainnya,11154.986107854631
Klojen,Minuman,15239.695369284877
Klojen,Toko,2118.3907385697535
Klojen,Bakso,19706.0
Klojen,Warung,12486.890738569753
Klojen,Warung,12486.890738569753
Klojen,Olahan Nasi,2439.3
Klojen,Olahan Nasi,2439.3
Klojen,Mie,10453.095369284876
Klojen,Olahan Nasi,2439.3
Klojen,Sayuran,2338.5
Klojen,Lainnya,11154.986107854631
Klojen,Snack,7237.595369284877
Klojen,Minuman,15239.695369284877
Klojen,Warung,12486.890738569753
Klojen,Restoran,14601.381477139506
Klojen,Snack,7237.595369284877
Klojen,Ayam,4541.85
Klojen,Sayuran,2338.5
Klojen,Minuman,15239.695369284877
Klojen,Sayuran,2338.5
Klojen,Lainnya,11154.986107854631
